Assembly_ID,Accession_Name,Accession_ID,Accession_alias,Original_Assembly_ID,Version,QC_pipeline,Final_assembly,TMP_comments,CSnumber,Latitude,Longitude,Altitude,Gaps,Sum,Largest,Pangenome_reference,Primary_Sequencing_Technology,Assembler,Individual_or_pool,Latest_released_Year,Published,Publication_First_author,Publication_year,Publication_Journal,Publication_DOI,Publication_URL,Best_unique_assembly
100028,Ey15-2,9994,,,1.0,,,,,,,,,,,no,CLR,Canu_v2.0,Pool,2024.0,yes,Rabanal,2022.0,NucleicAcidsRes,10.1093/nar/gkac1115,https://doi.org/10.1093/nar/gkac1115,
100029,Ey15-2,9994,,,1.0,,,,CS76399,,,,1.0,,,yes,HiFi,hifiasm_v0.13-r308,Pool,2022.0,yes,Rabanal,2022.0,NucleicAcidsRes,10.1093/nar/gkac1115,https://doi.org/10.1093/nar/gkac1115,
100030,Col-0,6909,,,1.0,,False,,CS76778,,,,9.0,,,no,HiFi,hifiasm_v0.16.1-r375,Individual,2022.0,yes,Rabanal,2022.0,NucleicAcidsRes,10.1093/nar/gkac1115,https://doi.org/10.1093/nar/gkac1115,
100031,Kew-1,22008,,,1.0,,,,,51.4819,-0.2887,,37.0,,,no,HiFi,hifiasm_v0.15.3,Individual,2022.0,yes,Christenhusz,2023.0,WellcomeOpenRes,10.12688/wellcomeopenres.18665.1,https://wellcomeopenresearch.org/articles/8-40/v1,
100032,Ws-2,6981,,,1.0,,,Not avaiable,,,,,,,,no,CLR,auto-asm,Pool,,yes,Wibowo,2022.0,PLoSGenet,10.1371/journal.pgen.1010479,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1010479,
100033,Fjä2-4,6021,,,1.0,,,,,,,,137.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100034,Fly2-2,6024,,100034.0,1.0,,False,,,,,,111.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100035,Kor 3,9412,,,1.0,,,,,,,,134.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100036,Tur-4,9470,,,1.0,,,,,,,,140.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100037,Tos-82-387,1254,,,1.0,,,,,,,,118.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100038,Dör-10,5856,,,1.0,,,,,,,,188.0,,,no,CLR,Canu_v1.7.1,Pool,2022.0,yes,Jaegle,2023.0,GenomeBiol,10.1186/s13059-023-02875-3,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02875-3,
100039,Rabacal-1,22005,,,1.0,,True,,CS2107642,,,,1.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100040,Tanz-1,100002,,,1.0,,True,,CS77369,,,,0.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100041,Ler-0,7213,,,1.0,,,,CS77020,,,,6.0,,,no,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100042,Cvi-0,6911,,,1.0,,,,CS76789,,,,2.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100043,BRI-2,9910,,,1.0,,,,,,,,16.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100044,Bön 1,9336,,,1.0,,,,CS76715,,,,12.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100045,DraIII-1,8285,,,1.0,,,,CS76815,,,,18.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100046,Etna-2,9762,,,1.0,,,,CS76487,,,,25.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100047,Gel-1,7143,,,1.0,,,,CS76492,,,,11.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100048,HR-10,6923,,,1.0,,,,CS76940,,,,17.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100049,Iasi-1,9744,,,1.0,,,,CS76944,,,,15.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100050,IP-Bus-0,9830,,,1.0,,,,CS76736,,,,11.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100051,IP-Fel-2,9847,,,1.0,,,,CS76854,,,,19.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100052,IP-Ini-0,9852,,,1.0,,,,CS76945,,,,11.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100053,IP-Per-0,9879,,100319.0,2.0,,There is an ONT that looks better,,CS77169,,,,29.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100054,IP-Piq-0,9883,,,1.0,,,,CS77179,,,,16.0,,,no,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100055,IP-Tri-0,9900,,,1.0,,,,CS77386,,,,13.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100056,Ru-2,9806,,,1.0,,,,CS77223,,,,15.0,,,yes,HiFi,hifiasm_v0.15.4,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100057,Hov1-10,6035,,,1.0,,,,,,,,7.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100058,ANGE-B-10,22009,,,1.0,,,,,43.91214,1.656855,168.0,8.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
